student_id,name,city,subject,marks,attendance_percent,exam_date
1014,Nisha Gurung,POKHARA,Databases,29,81.4,2026-02-22
1035,Ojaswi Adhikari,  Birgunj ,Statistics,52,80.4,2026-01-17
1036,Prakash Karki,DHARAN,Databases,71,89.8,2026-02-07
1019,Tara Shrestha,  Kathmandu ,Machine Learning,76,81.4,2026-03-09
1001,Aarav Shrestha,kathmandu,Databases,93,92.2,2026-01-29
1009,Ishan Thapa,Biratnagar,Python Programming,98,61.2,2026-02-23
1017,Rita Adhikari,Birgunj,Machine Learning,60,61.3,2026-03-01
1026,Faiz Gurung,POKHARA,Databases,46,97.5,2026-03-13
1024,Deepika Karki,dharan,Databases,36,72.2,2026-01-09
1023,Chandni Adhikari,BIRGUNJ,Python Programming,,77.2,2026-02-15
1003,Chandni Thapa,biratnagar,Linear Algebra,65,75.5,2026-03-30
1038,Sujan Gurung,  Pokhara ,Linear Algebra,37,70.3,2026-03-09
1031,Kiran Shrestha,KATHMANDU,Databases,44,86.1,2026-02-07
1023,Chandni Adhikari,birgunj,Machine Learning,30,68.4,2026-01-15
1029,Ishan Adhikari,birgunj,Machine Learning,91,,2026-03-20
1030,Jyoti Karki,Dharan,Machine Learning,45,62.9,2026-03-26
1027,Gita Thapa,BIRATNAGAR,Machine Learning,88,75.2,2026-02-17
1017,Rita Adhikari,  Birgunj ,Statistics,49,87.4,2026-02-17
1009,Ishan Thapa,Biratnagar,Statistics,47,66.6,2026-02-03
1016,Prakash Rai,  Lalitpur ,Python Programming,42,75.4,2026-03-24
1040,Umesh Rai,LALITPUR,Databases,33,70.2,2026-01-25
1015,Ojaswi Thapa,  Biratnagar ,Databases,87,91.4,2026-01-15
1035,Ojaswi Adhikari,BIRGUNJ,Python Programming,80,73.3,2026-02-21
1020,Umesh Gurung,  Pokhara ,Linear Algebra,42,73.0,2026-03-26
1022,Bibek Rai,LALITPUR,Statistics,86,61.3,2026-01-05
1026,Faiz Gurung,  Pokhara ,Linear Algebra,28,80.4,2026-01-08
1003,Chandni Thapa,Biratnagar,Machine Learning,38,85.3,2026-02-14
1006,Faiz Karki,dharan,Linear Algebra,44,71.7,2026-02-23
1009,Ishan Thapa,Biratnagar,Databases,59,,2026-01-25
1030,Jyoti Karki,  Dharan ,Statistics,95,62.2,2026-03-15
1004,Deepika Rai,Lalitpur,Machine Learning,65,70.2,2026-01-07
1030,Jyoti Karki,  Dharan ,Linear Algebra,54,92.6,2026-03-14
1013,Manish Shrestha,  Kathmandu ,Python Programming,67,97.3,2026-01-07
1039,Tara Thapa,  Biratnagar ,Machine Learning,60,65.0,2026-02-17
1024,Deepika Karki,Dharan,Machine Learning,90,95.2,2026-02-01
1019,Tara Shrestha,KATHMANDU,Statistics,85,67.1,2026-01-09
1037,Rita Shrestha,kathmandu,Python Programming,73,98.6,2026-03-25
